Input,Outfit Combination
"Male, 50, Rectangle, Medium, 78kg, Dinner with Friends, Casual, Dark Skin","A light denim shirt paired with straight-leg black jeans and desert boots, accessorized with a woven bracelet and aviator sunglasses. This casual dinner outfit strikes the perfect balance between laid-back and stylish, with the denim shirt bringing casual flair while the black jeans add a polished touch."
"Baby Boy, 2, Chubby, Short, 12kg, Family Gathering, Casual, Fair Skin","A striped romper with baby booties, accessorized with a soft hat. This adorable and comfy outfit is perfect for a family gathering. The romper allows for easy movement, while the soft booties and hat keep the baby cozy and stylish. The striped pattern adds a playful element to the overall look."
"Female, 28, Apple, Medium, 70kg, Work Presentation, Formal, Medium Skin","A tailored pencil skirt with a tucked-in blouse and block heels, accessorized with a structured tote and a silk scarf. This formal work outfit is ideal for a presentation, as the pencil skirt and blouse offer a clean, professional look that flatters the apple body shape by creating definition at the waist."
"Girl, 10, Slim, Medium, 34kg, Outdoor Adventure, Sporty, Dark Skin","A moisture-wicking t-shirt with leggings and running shoes, accessorized with a cap and a small backpack. This sporty outfit is perfect for an outdoor adventure, keeping the young girl comfortable and active. The moisture-wicking fabric ensures she stays cool while the leggings offer flexibility and ease of movement."
"Male, 23, Inverted Triangle, Medium, 78kg, College Graduation, Semi-Formal, Fair Skin","A tailored blazer with slim-fit trousers and loafers, accessorized with a tie and a pocket square. This semi-formal look is ideal for a college graduation, with the tailored blazer enhancing the broad shoulders of the inverted triangle body shape while the slim-fit trousers offer a sleek, modern look."
"Female, 45, Rectangle, Medium, 74kg, Cocktail Party, Glam, Light Skin","A sequin sheath dress with stiletto heels, accessorized with drop earrings and a metallic clutch. This glamorous cocktail party outfit is perfect for a rectangle body shape, as the sequin dress creates visual interest and adds curves to the silhouette. The stiletto heels and metallic accessories complete the chic look."
"Male, 35, Athletic, Medium, 80kg, Business Meeting, Formal, Olive Skin","A tailored navy suit with a crisp white dress shirt, paired with polished oxford shoes, a silk tie, and a leather briefcase. This formal business look is designed to impress, with the navy suit flattering an athletic build by accentuating broad shoulders and a trim waist. The oxford shoes and tie provide a sophisticated finish."
"Female, 30, Hourglass, Tall, 70kg, Brunch with Friends, Casual Chic, Light Skin","A flowy wrap dress with wedge sandals and a wide-brimmed hat, accessorized with statement sunglasses and a crossbody bag. The wrap dress highlights an hourglass figure by cinching at the waist, while the wedge sandals offer height and comfort. The wide-brimmed hat adds a trendy, sun-safe element for a casual outdoor brunch."
"Boy, 12, Slim, Medium, 40kg, School Field Trip, Sporty, Fair Skin","A lightweight hoodie with joggers and comfortable sneakers, accessorized with a baseball cap and a backpack. This sporty look is perfect for a school field trip, offering comfort and practicality. The joggers and hoodie allow easy movement, while the backpack ensures he’s prepared for the day’s activities."
"Female, 22, Apple, Medium, 65kg, Formal Dinner, Glam, Olive Skin","A structured peplum top with high-waisted tailored trousers and pointed heels, accessorized with a sleek clutch and chandelier earrings. This formal dinner outfit flatters an apple-shaped figure by creating definition at the waist with the peplum top. The tailored trousers offer a streamlined, elegant appearance."
"Male, 40, Rectangle, Medium, 75kg, Weekend Getaway, Casual, Dark Skin","A polo shirt with relaxed-fit jeans and loafers, accessorized with a smartwatch and sunglasses. This casual outfit is ideal for a weekend getaway, offering both comfort and style. The polo shirt adds a touch of sophistication, while the relaxed-fit jeans ensure a laid-back vibe perfect for travel or leisure activities."
"Baby Girl, 1, Chubby, Short, 10kg, Family Photo Shoot, Cute, Light Skin","A floral dress with matching bloomers and soft-soled shoes, accessorized with a headband and a knitted cardigan. This adorable outfit is perfect for a family photo shoot, combining comfort with cute style. The floral pattern adds a playful touch, while the headband and cardigan complete the look for timeless photos."
"Male, 25, Inverted Triangle, Tall, 85kg, Casual Outing, Streetwear, Medium Skin","A graphic oversized hoodie with slim joggers and high-top sneakers, accessorized with a beanie and a chain necklace. This trendy streetwear look balances the broad shoulders of an inverted triangle shape with the oversized hoodie, while the slim joggers create a sleek contrast. High-top sneakers and accessories complete the look."
"Girl, 8, Petite, Short, 25kg, Dance Class, Activewear, Fair Skin","A fitted tank top with leggings and ballet flats, accessorized with a hairband and a small gym bag. This outfit is perfect for dance class, offering flexibility and comfort. The fitted tank and leggings allow for easy movement, while the ballet flats are practical for dancing. The hairband keeps her hair in place for the activity."
"Female, 50, Pear, Medium, 72kg, Charity Gala, Formal, Dark Skin","A floor-length A-line gown with an embellished neckline, paired with elegant heels and a beaded clutch. This formal charity gala outfit suits a pear-shaped figure by drawing attention upward with the embellished neckline, while the A-line silhouette softly drapes over the hips. Elegant accessories complete the timeless look."
"Baby Boy, 3, Chubby, Short, 12kg, Playdate, Casual, Medium Skin","A striped t-shirt with overalls and soft sneakers, accessorized with a bucket hat and baby-safe sunglasses. This playful outfit is perfect for an outdoor playdate, offering comfort and practicality. The overalls are easy to move in, while the bucket hat and sunglasses provide sun protection for a sunny day."
